txLoss : 0.0 , txDelay : 768.0 , txJitter : 81.0 , rxLoss : 0.0 , rxDelay : 724.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 800.0 , txJitter : 149.0 , rxLoss : 0.0 , rxDelay : 724.0 , rxJitter : 10.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 751.0 , txJitter : 57.0 , rxLoss : 0.0 , rxDelay : 751.0 , rxJitter : 57.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 788.0 , txJitter : 118.0 , rxLoss : 0.0 , rxDelay : 759.0 , rxJitter : 68.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 786.0 , txJitter : 115.0 , rxLoss : 0.0 , rxDelay : 720.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 776.0 , txJitter : 104.0 , rxLoss : 0.0 , rxDelay : 720.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 787.0 , txJitter : 111.0 , rxLoss : 0.0 , rxDelay : 726.0 , rxJitter : 19.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 803.0 , txJitter : 157.0 , rxLoss : 0.0 , rxDelay : 722.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 845.0 , txJitter : 202.0 , rxLoss : 0.0 , rxDelay : 724.0 , rxJitter : 17.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 798.0 , txJitter : 138.0 , rxLoss : 0.0 , rxDelay : 721.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 773.0 , txJitter : 102.0 , rxLoss : 0.0 , rxDelay : 722.0 , rxJitter : 11.0 , throughput : 0.0/HIT1/1.0
txLoss : 0.0 , txDelay : 772.0 , txJitter : 92.0 , rxLoss : 0.0 , rxDelay : 721.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 789.0 , txJitter : 116.0 , rxLoss : 0.0 , rxDelay : 722.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 757.0 , txJitter : 73.0 , rxLoss : 0.0 , rxDelay : 721.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 787.0 , txJitter : 120.0 , rxLoss : 0.0 , rxDelay : 723.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 804.0 , txJitter : 137.0 , rxLoss : 0.0 , rxDelay : 718.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 804.0 , txJitter : 149.0 , rxLoss : 0.0 , rxDelay : 719.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 819.0 , txJitter : 166.0 , rxLoss : 0.0 , rxDelay : 716.0 , rxJitter : 11.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 821.0 , txJitter : 149.0 , rxLoss : 0.0 , rxDelay : 715.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 781.0 , txJitter : 106.0 , rxLoss : 0.0 , rxDelay : 733.0 , rxJitter : 54.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 769.0 , txJitter : 84.0 , rxLoss : 0.0 , rxDelay : 769.0 , rxJitter : 84.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 774.0 , txJitter : 90.0 , rxLoss : 0.0 , rxDelay : 774.0 , rxJitter : 90.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 785.0 , txJitter : 113.0 , rxLoss : 0.0 , rxDelay : 822.0 , rxJitter : 113.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 777.0 , txJitter : 99.0 , rxLoss : 0.0 , rxDelay : 777.0 , rxJitter : 99.0 , throughput : 0.0/HIT2
