txLoss : 0.0 , txDelay : 729.0 , txJitter : 110.0 , rxLoss : 0.0 , rxDelay : 570.0 , rxJitter : 15.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 564.0 , txJitter : 67.0 , rxLoss : 0.0 , rxDelay : 440.0 , rxJitter : 15.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 569.0 , txJitter : 54.0 , rxLoss : 0.0 , rxDelay : 443.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 581.0 , txJitter : 115.0 , rxLoss : 0.0 , rxDelay : 407.0 , rxJitter : 25.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 569.0 , txJitter : 122.0 , rxLoss : 0.0 , rxDelay : 476.0 , rxJitter : 24.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1239.0 , txJitter : 69.0 , rxLoss : 0.0 , rxDelay : 1099.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 2233.0 , txJitter : 150.0 , rxLoss : 0.0 , rxDelay : 2203.0 , rxJitter : 76.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1706.0 , txJitter : 51.0 , rxLoss : 0.0 , rxDelay : 1609.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 355.0 , txJitter : 121.0 , rxLoss : 0.0 , rxDelay : 282.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 5083.0 , txJitter : 2304.0 , rxLoss : 0.0 , rxDelay : 3384.0 , rxJitter : 22.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 4960.0 , txJitter : 2398.0 , rxLoss : 0.0 , rxDelay : 3381.0 , rxJitter : 21.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 4286.0 , txJitter : 1170.0 , rxLoss : 0.0 , rxDelay : 3439.0 , rxJitter : 24.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 2236.0 , txJitter : 113.0 , rxLoss : 0.0 , rxDelay : 2187.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 369.0 , txJitter : 104.0 , rxLoss : 0.0 , rxDelay : 285.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 340.0 , txJitter : 65.0 , rxLoss : 0.0 , rxDelay : 353.0 , rxJitter : 11.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1929.0 , txJitter : 25.0 , rxLoss : 0.0 , rxDelay : 1846.0 , rxJitter : 10.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 2217.0 , txJitter : 37.0 , rxLoss : 0.0 , rxDelay : 2131.0 , rxJitter : 10.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1976.0 , txJitter : 29.0 , rxLoss : 0.0 , rxDelay : 1901.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1970.0 , txJitter : 27.0 , rxLoss : 0.0 , rxDelay : 1889.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1954.0 , txJitter : 24.0 , rxLoss : 0.0 , rxDelay : 1879.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1806.0 , txJitter : 31.0 , rxLoss : 0.0 , rxDelay : 1683.0 , rxJitter : 7.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 1717.0 , txJitter : 29.0 , rxLoss : 0.0 , rxDelay : 1620.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 179.0 , txJitter : 39.0 , rxLoss : 0.0 , rxDelay : 168.0 , rxJitter : 20.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 3072.0 , txJitter : 18.0 , rxLoss : 0.0 , rxDelay : 3070.0 , rxJitter : 12.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 3071.0 , txJitter : 20.0 , rxLoss : 0.0 , rxDelay : 3058.0 , rxJitter : 12.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 2891.0 , txJitter : 17.0 , rxLoss : 0.0 , rxDelay : 2869.0 , rxJitter : 12.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 323.0 , txJitter : 100.0 , rxLoss : 0.0 , rxDelay : 318.0 , rxJitter : 94.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 177.0 , txJitter : 63.0 , rxLoss : 0.0 , rxDelay : 148.0 , rxJitter : 6.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 185.0 , txJitter : 43.0 , rxLoss : 0.0 , rxDelay : 274.0 , rxJitter : 9.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 334.0 , txJitter : 85.0 , rxLoss : 0.0 , rxDelay : 287.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 406.0 , txJitter : 104.0 , rxLoss : 0.0 , rxDelay : 236.0 , rxJitter : 8.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 390.0 , txJitter : 107.0 , rxLoss : 0.0 , rxDelay : 263.0 , rxJitter : 8.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 505.0 , txJitter : 97.0 , rxLoss : 0.0 , rxDelay : 378.0 , rxJitter : 19.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 523.0 , txJitter : 158.0 , rxLoss : 0.0 , rxDelay : 346.0 , rxJitter : 23.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 505.0 , txJitter : 144.0 , rxLoss : 0.0 , rxDelay : 354.0 , rxJitter : 23.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 4210.0 , txJitter : 18.0 , rxLoss : 0.0 , rxDelay : 4208.0 , rxJitter : 12.0 , throughput : 0.0/MISS
txLoss : 0.0 , txDelay : 777.0 , txJitter : 72.0 , rxLoss : 0.0 , rxDelay : 607.0 , rxJitter : 24.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 5127.0 , txJitter : 35.0 , rxLoss : 0.0 , rxDelay : 5107.0 , rxJitter : 14.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1339.0 , txJitter : 72.0 , rxLoss : 0.0 , rxDelay : 1212.0 , rxJitter : 21.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1528.0 , txJitter : 104.0 , rxLoss : 0.0 , rxDelay : 1528.0 , rxJitter : 104.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 938.0 , txJitter : 83.0 , rxLoss : 0.0 , rxDelay : 817.0 , rxJitter : 12.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 5135.0 , txJitter : 33.0 , rxLoss : 0.0 , rxDelay : 5111.0 , rxJitter : 13.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1687.0 , txJitter : 191.0 , rxLoss : 0.0 , rxDelay : 1564.0 , rxJitter : 70.0 , throughput : 0.0/HIT2
txLoss : 0.0 , txDelay : 1050.0 , txJitter : 99.0 , rxLoss : 0.0 , rxDelay : 1129.0 , rxJitter : 116.0 , throughput : 0.0/HIT2
